@lat,@lon
40.2387042,-76.9347058
43.6500196,-79.3909545
43.6453549,-79.3894561
43.6704350,-79.3936342
43.6705964,-79.3900893
51.1892845,-114.4748276
43.2267254,-79.9541990
48.4315737,-123.3237310
44.0399840,-88.5410859
51.0672686,-114.0864129
43.6377621,-79.3922798
39.9530145,-75.1922885
43.6492696,-79.3782176
37.3371146,-122.0667561
49.2126267,-122.9193393
38.5365146,-90.4965398
43.6650644,-79.3844461
37.3337802,-121.8818160
43.6507295,-79.3877439
48.4766637,-123.3327754
43.7040330,-79.4118150
43.4873896,-79.7183483
44.2316650,-76.4822530
48.4469652,-123.3723503
37.7900864,-122.4339295
43.6713495,-79.3806460
37.5797659,-122.3333428
51.1485239,-114.0714374
44.2315048,-76.4926158
41.6608461,-73.9310721
53.5657891,-113.5210328
41.1395679,-112.0614323
49.1691066,-121.9540540
41.1761328,-112.0076089
43.6681256,-79.3886125
42.0404900,-87.7518780
37.7640254,-122.2427792
37.8079991,-122.2655442
43.7048071,-79.3615832
43.6684309,-79.3079591
33.3213094,-111.9116730
37.7769972,-122.3936898
40.7170538,-74.3577223
19.3495012,-99.1969644
34.1037593,-118.0740870
36.8369631,-121.3899190
34.1276536,-118.0911026
51.1609534,-114.0648439
39.3271261,-120.2058100
45.5231344,-122.6988675
45.5320426,-122.6988485
37.1303540,-121.6391450
34.1502968,-118.0802678
37.1439073,-121.6643330
42.6563979,-71.1402780
19.4265467,-99.2232449
37.0143508,-121.5859480
37.7862170,-122.4531910
19.3681850,-99.2628585
30.2682668,-97.7429695
30.2718760,-97.7411784
37.4615523,-122.1372023
47.6292529,-122.1441496
37.8914770,-122.2800130
37.4218076,-122.0964180
41.9616382,-87.6761596
47.6324527,-122.1405142
41.9113009,-87.6348879
41.9547023,-87.6789343
37.3233149,-121.9139782
41.9288055,-87.6584501
41.9103567,-87.6776669
42.4147574,-71.1510021
47.6188627,-122.3210607
33.1688217,-117.2145123
37.7966589,-122.3948945
34.1504398,-118.0731156
42.8486627,-106.2655992
33.7343343,-117.8151168
42.6503233,-73.7526782
43.7249039,-79.4023992
37.8065557,-122.4203768
